CUSIP NO,ASTRK,ISSUER NAME,ISSUER DESCRIPTION,STATUS
00164V 95 3,,AMC NETWORKS INC,PUT,
00165C 30 2,*,AMC ENTMT HLDGS INC,CL A NEW,
00165C 90 2,,AMC ENTMT HLDGS INC,CALL,
00165C 95 2,,AMC ENTMT HLDGS INC,PUT,
00166B 10 5,*,ALX ONCOLOGY HLDGS INC,COM,
00166B 90 5,,ALX ONCOLOGY HLDGS INC,CALL,
00166B 95 5,,ALX ONCOLOGY HLDGS INC,PUT,
001744 10 1,*,AMN HEALTHCARE SVCS INC,COM,
001744 90 1,,AMN HEALTHCARE SVCS INC,CALL,
001744 95 1,,AMN HEALTHCARE SVCS INC,PUT,
00175J 10 7,*,AMMO INC,COM,
00175J 90 7,,AMMO INC,CALL,
00175J 95 7,,AMMO INC,PUT,
00180G 20 5,,AMTD IDEA GROUP,SPONSORED ADS,DELETED
00180G 30 4,,AMTD IDEA GROUP,SPON ADS,ADDED
00180N 10 1,,AMTD DIGITAL INC,SPONSORED ADS,
00181T 10 7,*,A-MARK PRECIOUS METALS INC,COM,
00181T 90 7,,A-MARK PRECIOUS METALS INC,CALL,
00181T 95 7,,A-MARK PRECIOUS METALS INC,PUT,
00182C 10 3,*,ANI PHARMACEUTICALS INC,COM,
00182C 90 3,,ANI PHARMACEUTICALS INC,CALL,
00182C 95 3,,ANI PHARMACEUTICALS INC,PUT,
00183L 10 2,*,ANGI INC,COM CL A NEW,
00183L 90 2,,ANGI INC,CALL,
00183L 95 2,,ANGI INC,PUT,
00187Y 10 0,*,API GROUP CORP,COM STK,
00187Y 90 0,,API GROUP CORP,CALL,
00187Y 95 0,,API GROUP CORP,PUT,
00191G 10 3,*,ARC DOCUMENT SOLUTIONS INC,COM,
00191G 90 3,,ARC DOCUMENT SOLUTIONS INC,CALL,
00191G 95 3,,ARC DOCUMENT SOLUTIONS INC,PUT,
00191U 10 2,*,ASGN INC,COM,
00191U 90 2,,ASGN INC,CALL,
00191U 95 2,,ASGN INC,PUT,
00206R 10 2,*,AT&T INC,COM,
00206R 90 2,,AT&T INC,CALL,
00206R 95 2,,AT&T INC,PUT,
00211V 10 6,,ATA CREATIVITY GLOBAL,SPONSORED ADS,
00211Y 50 6,*,ARCA BIOPHARMA INC,COM,
00211Y 90 6,,ARCA BIOPHARMA INC,CALL,
00211Y 95 6,,ARCA BIOPHARMA INC,PUT,
002120 20 2,*,ATYR PHARMA INC,COM NEW,
002120 90 2,,ATYR PHARMA INC,CALL,
002120 95 2,,ATYR PHARMA INC,PUT,
002121 10 1,*,A10 NETWORKS INC,COM,
002121 90 1,,A10 NETWORKS INC,CALL,
002121 95 1,,A10 NETWORKS INC,PUT,
00214Q 10 4,*,ARK ETF TR,INNOVATION ETF,
00214Q 20 3,*,ARK ETF TR,AUTNMUS TECHNLGY,
00214Q 30 2,*,ARK ETF TR,GENOMIC REV ETF,
00214Q 40 1,*,ARK ETF TR,NEXT GNRTN INTER,
00214Q 50 0,*,ARK ETF TR,3D PRINTING ETF,
00214Q 60 9,*,ARK ETF TR,ISRAEL INOVATE,
00214Q 70 8,*,ARK ETF TR,FINTECH INNOVA,
00214Q 80 7,*,ARK ETF TR,ARK SPACE EXPL,
00214Q 90 0,,ARK ETF TR,CALL,
00214Q 90 1,,ARK ETF TR,CALL,
00214Q 90 2,,ARK ETF TR,CALL,
00214Q 90 3,,ARK ETF TR,CALL,
00214Q 90 4,,ARK ETF TR,CALL,
00214Q 90 7,,ARK ETF TR,CALL,
00214Q 90 8,,ARK ETF TR,CALL,
00214Q 90 9,,ARK ETF TR,CALL,
00214Q 95 0,,ARK ETF TR,PUT,
00214Q 95 1,,ARK ETF TR,PUT,
00214Q 95 2,,ARK ETF TR,PUT,
00214Q 95 3,,ARK ETF TR,PUT,
00214Q 95 4,,ARK ETF TR,PUT,
00214Q 95 7,,ARK ETF TR,PUT,
00214Q 95 8,,ARK ETF TR,PUT,
00214Q 95 9,,ARK ETF TR,PUT,
00215F 10 7,*,ATN INTL INC,COM,
00215F 90 7,,ATN INTL INC,CALL,
00215F 95 7,,ATN INTL INC,PUT,
00215W 10 0,*,ASE TECHNOLOGY HLDG CO LTD,SPONSORED ADS,
00215W 90 0,,ASE TECHNOLOGY HLDG CO LTD,CALL,
00215W 95 0,,ASE TECHNOLOGY HLDG CO LTD,PUT,
00216W 20 8,*,ATI PHYSICAL THERAPY INC,COM CL A,
00216W 90 8,,ATI PHYSICAL THERAPY INC,CALL,
00216W 95 8,,ATI PHYSICAL THERAPY INC,PUT,
00217D 10 0,*,AST SPACEMOBILE INC,COM CL A,
00217D 11 8,,AST SPACEMOBILE INC,*W EXP 04/06/202,
00217D 90 0,,AST SPACEMOBILE INC,CALL,
00217D 95 0,,AST SPACEMOBILE INC,PUT,
00217Y 10 4,*,ATS CORPORATION,COM,
00217Y 90 4,,ATS CORPORATION,CALL,
00217Y 95 4,,ATS CORPORATION,PUT,
00218A 10 5,,ASP ISOTOPES INC,COM,
00246W 10 3,*,AXT INC,COM,
00246W 90 3,,AXT INC,CALL,
00246W 95 3,,AXT INC,PUT,
002474 10 4,*,AZZ INC,COM,
002474 90 4,,AZZ INC,CALL,
002474 95 4,,AZZ INC,PUT,
00249W 10 0,,A2Z SMART TECHNOLOGIES CORP,COM,
00258W 10 8,*,THE AARONS COMPANY INC,COM,
00258W 90 8,,THE AARONS COMPANY INC,CALL,
00258W 95 8,,THE AARONS COMPANY INC,PUT,
00258Y 10 4,,ABACUS LIFE INC,CL A,
00258Y 11 2,,ABACUS LIFE INC,*W EXP 06/30/202,
002824 10 0,*,ABBOTT LABS,COM,
002824 90 0,,ABBOTT LABS,CALL,
002824 95 0,,ABBOTT LABS,PUT,
00287Y 10 9,*,ABBVIE INC,COM,
00287Y 90 9,,ABBVIE INC,CALL,
00287Y 95 9,,ABBVIE INC,PUT,
00288U 10 6,*,ABCELLERA BIOLOGICS INC,COM,
00288U 90 6,,ABCELLERA BIOLOGICS INC,CALL,
00288U 95 6,,ABCELLERA BIOLOGICS INC,PUT,
002896 20 7,*,ABERCROMBIE & FITCH CO,CL A,
002896 90 7,,ABERCROMBIE & FITCH CO,CALL,
002896 95 7,,ABERCROMBIE & FITCH CO,PUT,
00289Y 20 6,*,ABEONA THERAPEUTICS INC,COM NEW,
00289Y 90 6,,ABEONA THERAPEUTICS INC,CALL,
00289Y 95 6,,ABEONA THERAPEUTICS INC,PUT,
003009 10 7,,ABRDN ASIA PACIFIC INCOME FU,COM,
003011 10 3,,ABRDN AUSTRALIA EQUITY FD IN,COM,
003013 10 9,,ABRDN GLOBAL INCOME FUND INC,COM,
00301W 10 5,,ABRDN EMRG MKTS EQTY INCM FD,COM,
00302L 10 8,,ABRDN GLOBAL PREMIER PPTYS F,COM SH BEN INT,
00302M 10 6,,ABRDN GLOBAL DYNAMIC DIVIDEN,COM,
003057 10 6,,ABRDN INCOME CREDIT STRATEGI,COM,
00306J 10 9,,ABRDN JAPAN EQUITY FUND INC,COM,
003260 10 6,,ABRDN PLATINUM ETF TRUST,PHYSCL PLATM SHS,
003261 10 4,*,ABRDN ETFS,BBRG ALL COMD K1,
003261 20 3,*,ABRDN ETFS,BBRG ALL COMMDY,
003261 60 9,*,ABRDN ETFS,BBG INDUSTRL MET,
003261 90 3,,ABRDN ETFS,CALL,
003261 90 4,,ABRDN ETFS,CALL,
003261 90 9,,ABRDN ETFS,CALL,
003261 95 3,,ABRDN ETFS,PUT,
003261 95 4,,ABRDN ETFS,PUT,
003261 95 9,,ABRDN ETFS,PUT,
003262 10 2,,ABRDN PALLADIUM ETF TRUST,PHYSICAL PALLADM,
003263 10 0,,ABRDN PRECIOUS METALS BASKET,PHYSCL PRECS MET,
003264 10 8,*,ABRDN SILVER ETF TRUST,PHYSCL SILVR SHS,
003264 90 8,,ABRDN SILVER ETF TRUST,CALL,
003264 95 8,,ABRDN SILVER ETF TRUST,PUT,
00326A 10 4,*,ABRDN GOLD ETF TRUST,PHYSCL GOLD SHS,
00326A 90 4,,ABRDN GOLD ETF TRUST,CALL,
00326A 95 4,,ABRDN GOLD ETF TRUST,PUT,
00326L 10 0,,ABRDN TOTAL DYNAMIC DIVIDEND,COM SH BEN INT,
00326W 10 6,,ABRDN GLOBAL INFRA INCOME FU,COM SHS BEN INT,
00370M 10 3,,ABIVAX SA,SPONSORED ADS,ADDED
003881 30 7,*,ACACIA RESH CORP,ACACIA TCH COM,
003881 90 7,,ACACIA RESH CORP,CALL,
003881 95 7,,ACACIA RESH CORP,PUT,
00400R 60 1,,ABSOLUTE SHS TR,WBI BBR VAL 3000,
00400R 70 0,,ABSOLUTE SHS TR,WBI BBR YLD 3000,
00400R 80 9,,ABSOLUTE SHS TR,WBI BBR QTY 3000,
00400R 85 8,,ABSOLUTE SHS TR,WBI PWR FCTR ETF,
00402L 10 7,*,ACADEMY SPORTS & OUTDOORS IN,COM,
00402L 90 7,,ACADEMY SPORTS & OUTDOORS IN,CALL,
00402L 95 7,,ACADEMY SPORTS & OUTDOORS IN,PUT,
00404A 10 9,*,ACADIA HEALTHCARE COMPANY IN,COM,
00404A 90 9,,ACADIA HEALTHCARE COMPANY IN,CALL,
00404A 95 9,,ACADIA HEALTHCARE COMPANY IN,PUT,
004225 10 8,*,ACADIA PHARMACEUTICALS INC,COM,
004225 90 8,,ACADIA PHARMACEUTICALS INC,CALL,
004225 95 8,,ACADIA PHARMACEUTICALS INC,PUT,
004239 10 9,*,ACADIA RLTY TR,COM SH BEN INT,
004239 90 9,,ACADIA RLTY TR,CALL,
004239 95 9,,ACADIA RLTY TR,PUT,
00430H 20 1,*,ACCELERATE DIAGNOSTICS INC,COM NEW,
00430H 90 1,,ACCELERATE DIAGNOSTICS INC,CALL,
00430H 95 1,,ACCELERATE DIAGNOSTICS INC,PUT,
00430H AC 6,,ACCELERATE DIAGNOSTICS INC,NOTE  5.000%12/1,ADDED
00430K 86 5,,ACASTI PHARMA INC,CL A,
00436Q 10 6,*,ACCEL ENTERTAINMENT INC,COM CL A1,
00436Q 90 6,,ACCEL ENTERTAINMENT INC,CALL,
00436Q 95 6,,ACCEL ENTERTAINMENT INC,PUT,
00437E 10 2,*,ACCOLADE INC,COM,
00437E 90 2,,ACCOLADE INC,CALL,
00437E 95 2,,ACCOLADE INC,PUT,
00437E AB 8,,ACCOLADE INC,NOTE  0.500% 4/0,
00438Y 10 7,,ACCRETION ACQUISITION CORP,COM,DELETED
00438Y 11 5,,ACCRETION ACQUISITION CORP,*W EXP 03/01/202,DELETED
00438Y 12 3,,ACCRETION ACQUISITION CORP,RIGHT 03/01/2028,DELETED
00438Y 20 6,,ACCRETION ACQUISITION CORP,UNIT 03/01/2028,DELETED
004397 10 5,*,ACCURAY INC,COM,
004397 90 5,,ACCURAY INC,CALL,
004397 95 5,,ACCURAY INC,PUT,
004397 AK 1,,ACCURAY INC DEL,NOTE  3.750% 6/0,
00444P 10 8,*,ACER THERAPEUTICS INC,COM,DELETED
00444P 90 8,,ACER THERAPEUTICS INC,CALL,DELETED
00444P 95 8,,ACER THERAPEUTICS INC,PUT,DELETED
00444T 20 9,*,ACELRX PHARMACEUTICALS INC,COM NEW,
00444T 90 9,,ACELRX PHARMACEUTICALS INC,CALL,
00444T 95 9,,ACELRX PHARMACEUTICALS INC,PUT,
00444X 10 1,,ACHARI VENTURES HLDGS CORP I,COM,
00444X 11 9,,ACHARI VENTURES HLDGS CORP I,*W EXP 01/01/202,
00444X 20 0,,ACHARI VENTURES HLDGS CORP I,UNIT 09/30/2026,
00445A 10 0,*,ACELYRIN INC,COM,
00445A 90 0,,ACELYRIN INC,CALL,
00445A 95 0,,ACELYRIN INC,PUT,
004468 50 0,*,ACHIEVE LIFE SCIENCES INC,COM,
004468 90 0,,ACHIEVE LIFE SCIENCES INC,CALL,
004468 95 0,,ACHIEVE LIFE SCIENCES INC,PUT,
004498 10 1,*,ACI WORLDWIDE INC,COM,
004498 90 1,,ACI WORLDWIDE INC,CALL,
004498 95 1,,ACI WORLDWIDE INC,PUT,
00449L 10 2,,ACHILLES THERAPEUTICS PLC,SPONSORED ADS,
00461U 10 5,*,ACLARIS THERAPEUTICS INC,COM,
00461U 90 5,,ACLARIS THERAPEUTICS INC,CALL,
00461U 95 5,,ACLARIS THERAPEUTICS INC,PUT,
004816 10 4,,ACME UTD CORP,COM,
00484M 70 0,*,ACORDA THERAPEUTICS INC,COM,
00484M 90 0,,ACORDA THERAPEUTICS INC,CALL,
00484M 95 0,,ACORDA THERAPEUTICS INC,PUT,
00484M AC 0,,ACORDA THERAPEUTICS INC,NOTE  6.000%12/0,
00486H 10 5,*,ADTRAN HOLDINGS INC,COM,
00486H 90 5,,ADTRAN HOLDINGS INC,CALL,
00486H 95 5,,ADTRAN HOLDINGS INC,PUT,
004890 10 9,,ACRIVON THERAPEUTICS INC,COMMON STOCK,
00489Q 10 2,*,ACRES COMMERCIAL REALTY CORP,COM NEW,
00489Q 90 2,,ACRES COMMERCIAL REALTY CORP,CALL,
00489Q 95 2,,ACRES COMMERCIAL REALTY CORP,PUT,
00501A 10 1,,ACRI CAPITAL ACQUISITION COR,COM CL A,
00501A 11 9,,ACRI CAPITAL ACQUISITION COR,*W EXP 02/01/202,
00501A 20 0,,ACRI CAPITAL ACQUISITION COR,UNIT 02/01/2029,
005029 10 3,,ACROPOLIS INFRASTRUCTURE ACQ,CL A,DELETED
005029 11 1,,ACROPOLIS INFRASTRUCTURE ACQ,*W EXP 03/30/202,DELETED
005029 20 2,,ACROPOLIS INFRASTRUCTURE ACQ,UNIT 99/99/9999,DELETED
00503R 40 9,,ACTELIS NETWORKS INC,COM NEW,
00507V 10 9,*,ACTIVISION BLIZZARD INC,COM,DELETED
00507V 90 9,,ACTIVISION BLIZZARD INC,CALL,DELETED
00507V 95 9,,ACTIVISION BLIZZARD INC,PUT,DELETED
00507W 20 6,*,ACTINIUM PHARMACEUTICALS INC,COM,
00507W 90 6,,ACTINIUM PHARMACEUTICALS INC,CALL,
00507W 95 6,,ACTINIUM PHARMACEUTICALS INC,PUT,
00508Y 10 2,*,ACUITY BRANDS INC,COM,
00508Y 90 2,,ACUITY BRANDS INC,CALL,
00508Y 95 2,,ACUITY BRANDS INC,PUT,
005098 10 8,*,ACUSHNET HLDGS CORP,COM,
005098 90 8,,ACUSHNET HLDGS CORP,CALL,
005098 95 8,,ACUSHNET HLDGS CORP,PUT,
00509G 20 9,*,ACUMEN PHARMACEUTICALS INC,COM,
00509G 90 9,,ACUMEN PHARMACEUTICALS INC,CALL,
00509G 95 9,,ACUMEN PHARMACEUTICALS INC,PUT,
00509W 10 5,,ACTIVESHARES ETF TR,CLRBRDG FCS ESG,
00510M 10 4,*,ACURX PHARMACEUTICALS INC,COM,
00510M 90 4,,ACURX PHARMACEUTICALS INC,CALL,
00510M 95 4,,ACURX PHARMACEUTICALS INC,PUT,
005111 10 9,*,ACUTUS MED INC,COM,
005111 90 9,,ACUTUS MED INC,CALL,
005111 95 9,,ACUTUS MED INC,PUT,
005329 10 7,,ADAGENE INC,ADS,
00534A 10 2,*,INVIVYD INC,COM,
00534A 90 2,,INVIVYD INC,CALL,
00534A 95 2,,INVIVYD INC,PUT,
00547W 30 7,*,DMK PHARMACEUTICALS CORPORAT,COM,
00547W 90 7,,DMK PHARMACEUTICALS CORPORAT,CALL,
00547W 95 7,,DMK PHARMACEUTICALS CORPORAT,PUT,
00548F 10 5,*,ADAM NAT RES FD INC,COM,
00548F 90 5,,ADAM NAT RES FD INC,CALL,
00548F 95 5,,ADAM NAT RES FD INC,PUT,
00548H 10 1,,ADAMAS ONE CORP,COMMON STOCK,
006212 10 4,,ADAMS DIVERSIFIED EQUITY FD,COM,
006351 30 8,,ADAMS RES & ENERGY INC,COM NEW,
00650F 10 9,*,ADAPTIVE BIOTECHNOLOGIES COR,COM,
00650F 90 9,,ADAPTIVE BIOTECHNOLOGIES COR,CALL,
00650F 95 9,,ADAPTIVE BIOTECHNOLOGIES COR,PUT,
00653A 10 7,*,ADAPTIMMUNE THERAPEUTICS PLC,SPONDS ADR,
00653A 90 7,,ADAPTIMMUNE THERAPEUTICS PLC,CALL,
00653A 95 7,,ADAPTIMMUNE THERAPEUTICS PLC,PUT,
00653L 30 1,,ADDENTAX GROUP CORP,COM,
00653Q 10 2,*,ADAPTHEALTH CORP,COMMON STOCK,
00653Q 90 2,,ADAPTHEALTH CORP,CALL,
00653Q 95 2,,ADAPTHEALTH CORP,PUT,
00654J 10 7,,ADDEX THERAPEUTICS LTD,SPONSORED ADS,DELETED
00654J 20 6,,ADDEX THERAPEUTICS LTD,SPONSORED ADS,ADDED
006739 10 6,*,ADDUS HOMECARE CORP,COM,
006739 90 6,,ADDUS HOMECARE CORP,CALL,
006739 95 6,,ADDUS HOMECARE CORP,PUT,
006743 30 6,,ADDVANTAGE TECHNOLOGIES GROU,COM NEW,DELETED
006743 40 5,,ADDVANTAGE TECHNOLOGIES GROU,COM,ADDED
00676P 10 7,*,ADEIA INC,COM,
00676P 90 7,,ADEIA INC,CALL,
00676P 95 7,,ADEIA INC,PUT,
00688A 20 5,*,ADIAL PHARMACEUTICALS INC,COM NEW,
00688A 90 5,,ADIAL PHARMACEUTICALS INC,CALL,
00688A 95 5,,ADIAL PHARMACEUTICALS INC,PUT,
007002 10 8,*,ADICET BIO INC,COM,
007002 90 8,,ADICET BIO INC,CALL,
007002 95 8,,ADICET BIO INC,PUT,
007024 10 2,,ADIT EDTECH ACQUISITION CORP,COMMON STOCK,
007024 11 0,,ADIT EDTECH ACQUISITION CORP,*W EXP 99/99/999,
007024 20 1,,ADIT EDTECH ACQUISITION CORP,UNIT 99/99/9999,
007025 60 4,*,ADITXT INC,COM,
007025 90 4,,ADITXT INC,CALL,
007025 95 4,,ADITXT INC,PUT,
00704R 10 9,,ADLAI NORTYE LTD,SPONSORED ADS,
00724F 10 1,*,ADOBE INC,COM,
00724F 90 1,,ADOBE INC,CALL,
00724F 95 1,,ADOBE INC,PUT,
00737L 10 3,*,ADTALEM GLOBAL ED INC,COM,
00737L 90 3,,ADTALEM GLOBAL ED INC,CALL,
00737L 95 3,,ADTALEM GLOBAL ED INC,PUT,
00739D 10 9,,ADTHEORENT HOLDING COMPANY,COM,
00739D 11 7,,ADTHEORENT HOLDING COMPANY,*W EXP 12/26/202,
00751Y 10 6,*,ADVANCE AUTO PARTS INC,COM,
00751Y 90 6,,ADVANCE AUTO PARTS INC,CALL,
00751Y 95 6,,ADVANCE AUTO PARTS INC,PUT,
0075W0 16 3,,ADVISORS INNER CIRCLE FD,CAMBIAR AGGRES,
00760J 10 8,*,AEHR TEST SYS,COM,
00760J 90 8,,AEHR TEST SYS,CALL,
00760J 95 8,,AEHR TEST SYS,PUT,
00764C 10 9,,ADVENT CONV & INCOME FD,COM,
00766T 10 0,*,AECOM,COM,
00766T 90 0,,AECOM,CALL,
00766T 95 0,,AECOM,PUT,
00768Y 20 6,,ADVISORSHARES TR,DORSEY WRIGT ADR,
00768Y 31 3,*,ADVISORSHARES TR,MSOS 2X DAILY ET,
00768Y 34 7,*,ADVISORSHARES TR,LET BOB AI POWER,DELETED
00768Y 36 2,*,ADVISORSHARES TR,PSYCHEDELICS ETF,
00768Y 37 0,*,ADVISORSHARES TR,GERBER KAWASAKI,
00768Y 38 8,*,ADVISORSHARES TR,RESTAURANT ETF,
00768Y 39 6,*,ADVISORSHARES TR,HOTEL ETF,
00768Y 41 2,*,ADVISORSHARES TR,RANGER EQUITY BE,
00768Y 42 0,*,ADVISORSHARES TR,ALPHA DNA EQUITY,DELETED
00768Y 43 8,*,ADVISORSHARES TR,Q DYNAMIC GROWTH,
00768Y 45 3,*,ADVISORSHARES TR,PURE US CANNABIS,
00768Y 47 9,,ADVISORSHARES TR,DORSY FSM ALCP,
00768Y 48 7,,ADVISORSHARES TR,DORSY FSM US,
00768Y 49 5,*,ADVISORSHARES TR,PURE CANNABIS,
00768Y 52 9,,ADVISORSHARES TR,DORSY SHRT ETF,
00768Y 53 7,,ADVISORSHARES TR,DORSY MICR ETF,DELETED
00768Y 54 5,*,ADVISORSHARES TR,VICE E T F,
00768Y 56 0,*,ADVISORSHARES TR,ADVISORSHS ETF,
00768Y 76 8,,ADVISORSHARES TR,STAR GLOB BUYW,
